Latitude_Min,Latitude_Max,Longitude_Min,Longitude_Max,Average_Fe_Si_Ratio
-89.17559769167354,-88.76339653751032,-180.0,-157.0791552879981,0.11468231308100688
-89.17559769167354,-88.76339653751032,-157.0791552879981,-134.1583105759962,0.11468231308100688
-89.17559769167354,-88.76339653751032,-134.1583105759962,-111.23746586399432,0.16421446651489185
-88.76339653751032,-88.35119538334709,-163.62712063872507,-147.25424127745015,0.11468231308100688
-88.76339653751032,-88.35119538334709,-147.25424127745015,-130.88136191617522,0.16421446651489185
-88.76339653751032,-88.35119538334709,-130.88136191617522,-114.5084825549003,0.16421446651489185
-88.35119538334709,-87.93899422918386,-167.2646593900547,-154.5293187801094,0.11468231308100688
-88.35119538334709,-87.93899422918386,-154.5293187801094,-141.7939781701641,0.11468231308100688
-88.35119538334709,-87.93899422918386,-141.7939781701641,-129.0586375602188,0.16421446651489185
-88.35119538334709,-87.93899422918386,-129.0586375602188,-116.32329695027352,0.16421446651489185
-87.93899422918386,-87.52679307502063,-169.57927690772112,-159.15855381544225,0.06515015964712191
-87.93899422918386,-87.52679307502063,-159.15855381544225,-148.73783072316337,0.11468231308100688
-87.93899422918386,-87.52679307502063,-148.73783072316337,-138.3171076308845,0.16421446651489185
-87.93899422918386,-87.52679307502063,-138.3171076308845,-127.89638453860562,0.16421446651489185
-87.93899422918386,-87.52679307502063,-127.89638453860562,-117.47566144632674,0.16421446651489185
-87.93899422918386,-87.52679307502063,-117.47566144632674,-107.05493835404786,0.16421446651489185
-87.52679307502063,-87.1145919208574,-171.1815521675064,-162.3631043350128,0.06515015964712191
-87.52679307502063,-87.1145919208574,-162.3631043350128,-153.5446565025192,0.11468231308100688
-87.52679307502063,-87.1145919208574,-153.5446565025192,-144.72620867002558,0.11468231308100688
-87.52679307502063,-87.1145919208574,-144.72620867002558,-135.90776083753198,0.16421446651489185
-87.52679307502063,-87.1145919208574,-135.90776083753198,-127.08931300503838,0.16421446651489185
-87.52679307502063,-87.1145919208574,-127.08931300503838,-118.27086517254477,0.16421446651489185
-87.52679307502063,-87.1145919208574,-118.27086517254477,-109.45241734005117,0.08917913996107557
-87.52679307502063,-87.1145919208574,-109.45241734005117,-100.63396950755757,0.014143813407259285
-87.52679307502063,-87.1145919208574,-100.63396950755757,-91.81552167506396,0.014143813407259285
-87.52679307502063,-87.1145919208574,-91.81552167506396,-82.99707384257036,0.014143813407259285
-87.1145919208574,-86.70239076669418,-118.85137612160634,-111.20779813680713,0.014143813407259285
-87.1145919208574,-86.70239076669418,-111.20779813680713,-103.56422015200792,0.014143813407259285
-87.1145919208574,-86.70239076669418,-103.56422015200792,-95.92064216720871,0.014143813407259285
-87.1145919208574,-86.70239076669418,-95.92064216720871,-88.2770641824095,0.014143813407259285
-87.1145919208574,-86.70239076669418,-88.2770641824095,-80.6334861976103,0.014143813407259285
-86.70239076669418,-86.29018961253095,-112.54735360707258,-105.80208896777984,0.014143813407259285
-86.70239076669418,-86.29018961253095,-105.80208896777984,-99.0568243284871,0.014143813407259285
-86.70239076669418,-86.29018961253095,-99.0568243284871,-92.31155968919435,0.014143813407259285
-86.70239076669418,-86.29018961253095,-92.31155968919435,-85.56629504990161,0.014143813407259285
-86.70239076669418,-86.29018961253095,-85.56629504990161,-78.82103041060887,0.014143813407259285
-86.29018961253095,-85.87798845836772,-113.60208353455084,-107.5659093104191,0.014143813407259285
-86.29018961253095,-85.87798845836772,-107.5659093104191,-101.52973508628736,0.014143813407259285
-86.29018961253095,-85.87798845836772,-101.52973508628736,-95.49356086215562,0.014143813407259285
-86.29018961253095,-85.87798845836772,-95.49356086215562,-89.45738663802388,0.014143813407259285
-86.29018961253095,-85.87798845836772,-89.45738663802388,-83.42121241389214,0.014143813407259285
