Latitude_1,Latitude_2,Latitude_3,Latitude_4,Longitude_1,Longitude_2,Longitude_3,Longitude_4,Timestamp,Mg,Peak_Amplitude@Mg,Al,Peak_Amplitude@Al,Si,Peak_Amplitude@Si,Fe,Peak_Amplitude@Fe,Ca,Peak_Amplitude@Ca,Ti,Peak_Amplitude@Ti,Cr,Peak_Amplitude@Cr,O,Peak_Amplitude@O
-87.6091,-88.6244,-88.0402,-87.199,-78.6808,-61.9609,-45.8447,-64.898,2022-03-04T08:01:42.733,,,,,,,,,,,,,,,,
-88.0147,-88.4169,-88.9783,-87.5732,-76.7595,-73.8579,-51.8019,-61.0957,2022-03-04T08:01:50.733,,,,,,,,,,,,,,,,
-87.9329,-88.8124,-89.2695,-88.3233,-55.9392,-69.0182,-32.4252,-36.3892,2022-03-04T08:01:58.733,,,,,,,,,,,,,,,,
-88.2693,-89.1912,-89.3982,-88.5441,-48.7063,-59.5105,1.86,-23.6185,2022-03-04T08:02:06.733,,,,,,,,,,,,,,,,
-88.5653,-89.5123,-89.2722,-88.6707,-38.2529,-35.7665,36.2949,-7.4267,2022-03-04T08:02:14.733,,,,,,,,,,,,,,,,
-88.9024,-89.5123,-89.2722,-88.5578,-3.3398,-35.7665,36.2949,26.8436,2022-03-04T08:02:22.733,,,,,,,,,,,,,,,,
-88.3432,-89.5987,-88.9824,-88.6287,39.9006,18.426,55.846,66.0725,2022-03-04T08:02:30.733,,,,,,,,,,,,,,,,
-88.0636,-88.865,-89.3488,-88.2495,49.5861,17.8674,55.8214,71.9947,2022-03-04T08:02:38.733,,,,,,,,,,,,,,,,
-87.7431,-88.6915,-88.9866,-87.8582,56.6856,35.5315,69.734,75.7877,2022-03-04T08:02:46.733,,,,,,,,,,,,,,,,
-87.3967,-88.4264,-88.5964,-87.4605,61.9569,48.1792,76.1458,78.3983,2022-03-04T08:02:54.733,,,,,,,,,,,,,,,,
-87.0334,-88.1076,-88.1964,-87.0589,65.9686,56.8829,79.7401,80.3029,2022-03-04T08:03:02.733,,,,,,,,,,,,,,,,
-86.6587,-87.758,-87.7919,-86.6547,69.093,62.9842,82.0281,81.7485,2022-03-04T08:03:10.733,,,,,,,,,,,,,,,,
-86.2761,-87.3899,-87.3848,-86.2489,71.5817,67.4037,83.6057,82.8821,2022-03-04T08:03:18.733,,,,,,,,,,,,,,,,
-85.8879,-87.01,-86.9764,-85.8422,73.5936,70.7159,84.7577,83.7849,2022-03-04T08:03:26.733,,,,,,,,,,,,,,,,
-85.4953,-86.6227,-86.5673,-85.4342,75.2662,73.2622,85.6239,84.5355,2022-03-04T08:03:34.733,,,,,,,,,,,,,,,,
-85.0994,-86.2297,-86.1571,-85.0256,76.6742,75.2944,86.3172,85.1678,2022-03-04T08:03:42.733,,,,,,,,,,,,,,,,
-84.701,-85.833,-85.7465,-84.6165,77.869,76.9451,86.881,85.702,2022-03-04T08:03:50.733,,,,,,,,,,,,,,,,
-84.3006,-85.4333,-85.3356,-84.2069,78.8947,78.3056,87.3434,86.1593,2022-03-04T08:03:58.733,,,,,,,,,,,,,,,,
-83.8986,-85.0315,-84.9244,-83.7971,79.7867,79.4448,87.7293,86.5575,2022-03-04T08:04:06.733,,,,,,,,,,,,,,,,
-83.4953,-84.6279,-84.5131,-83.387,80.5659,80.4141,88.0585,86.9041,2022-03-04T08:04:14.733,,,,,,,,,,,,,,,,
-83.0908,-84.2232,-84.1016,-82.9765,81.2557,81.2459,88.34,87.212,2022-03-04T08:04:22.733,,,,,,,,,,,,,,,,
-82.6853,-83.8171,-83.6898,-82.5657,81.8692,81.9699,88.5862,87.4861,2022-03-04T08:04:30.733,,,,,,,,,,,,,,,,
-82.2792,-83.4101,-83.2779,-82.155,82.4179,82.6046,88.8022,87.7314,2022-03-04T08:04:38.733,,,,,,,,,,,,,,,,
-81.8722,-83.0025,-82.866,-81.7439,82.9119,83.1649,88.9932,87.9524,2022-03-04T08:04:46.733,,,,,,,,,,,,,,,,
-81.4646,-82.5942,-82.4538,-81.3327,83.3586,83.6639,89.1635,88.1524,2022-03-04T08:04:54.733,,,,,,,,,,,,,,,,
-81.0568,-82.1853,-82.0416,-80.9216,83.7651,84.1105,89.3162,88.3351,2022-03-04T08:05:02.733,,,,,,,,,,,,,,,,
-80.6484,-81.7762,-81.6296,-80.5102,84.1364,84.5127,89.4544,88.5022,2022-03-04T08:05:10.733,,,,,,,,,,,,,,,,
-80.2396,-81.3665,-81.2173,-80.0988,84.4762,84.8774,89.58,88.6552,2022-03-04T08:05:18.733,,,,,,,,,,,,,,,,
-79.8303,-80.9566,-80.805,-79.6871,84.7873,85.2087,89.6942,88.7946,2022-03-04T08:05:26.733,,,,,,,,,,,,,,,,
-79.4208,-80.5462,-80.3925,-79.2754,85.0756,85.5099,89.7972,88.9246,2022-03-04T08:05:34.733,,,,,,,,,,,,,,,,
-79.0111,-80.1355,-79.98,-78.8638,85.3439,85.7871,89.893,89.0468,2022-03-04T08:05:42.733,,,,,,,,,,,,,,,,
-78.6011,-79.7248,-79.5676,-78.452,85.5905,86.0435,89.9827,89.1578,2022-03-04T08:05:50.733,,,,,,,,,,,,,,,,
-78.1909,-79.3138,-79.1551,-78.0401,85.821,86.278,90.0635,89.2623,2022-03-04T08:05:58.733,,,,,,,,,,,,,,,,
-77.7803,-78.9026,-78.7426,-77.6281,86.0367,86.496,90.1393,89.3606,2022-03-04T08:06:06.733,,,,,,,,,,,,,,,,
-77.3695,-78.4911,-78.3299,-77.216,86.2369,86.6989,90.2104,89.4511,2022-03-04T08:06:14.733,,,,,,,,,,,,,,,,
-76.9588,-78.0794,-77.9171,-76.8041,86.4257,86.8867,90.2753,89.5375,2022-03-04T08:06:22.733,,,,,,,,,,,,,,,,
-76.5478,-77.6678,-77.5046,-76.392,86.6021,87.0628,90.3373,89.6176,2022-03-04T08:06:30.733,,,,,,,,,,,,,,,,
-76.1366,-77.256,-77.0919,-75.9798,86.7695,87.2269,90.3945,89.6947,2022-03-04T08:06:38.733,,,,,,,,,,,,,,,,
-75.7252,-76.844,-76.6791,-75.5675,86.9261,87.3818,90.4495,89.7662,2022-03-04T08:06:46.733,,,,,,,,,,,,,,,,
-75.3137,-76.4318,-76.2663,-75.1553,87.0757,87.5264,90.5002,89.8356,2022-03-04T08:06:54.733,,,,,,,,,,,,,,,,
-74.9022,-76.0196,-75.8536,-74.743,87.2157,87.6639,90.5496,89.8999,2022-03-04T08:07:02.733,,,,,,,,,,,,,,,,
-74.4905,-75.6073,-75.4407,-74.3306,87.3487,87.7923,90.5949,89.9612,2022-03-04T08:07:10.733,,,,,,,,,,,,,,,,
-74.0786,-75.1949,-75.0279,-73.9182,87.4738,87.9139,90.6383,90.0185,2022-03-04T08:07:18.733,,,,,,,,,,,,,,,,
-73.6666,-74.7824,-74.6149,-73.5057,87.5934,88.0281,90.6785,90.0738,2022-03-04T08:07:26.733,,,,,,,,,,,,,,,,
-73.2547,-74.3697,-74.202,-73.0933,87.7084,88.1368,90.7172,90.1279,2022-03-04T08:07:34.733,,,,,,,,,,,,,,,,
-72.8425,-73.9572,-73.7892,-72.6808,87.8161,88.2411,90.7553,90.1775,2022-03-04T08:07:42.733,,,,,,,,,,,,,,,,
-72.4303,-73.5444,-73.3762,-72.2682,87.9189,88.3386,90.7899,90.225,2022-03-04T08:07:50.733,,,,,,,,,,,,,,,,
-72.0179,-73.1316,-72.9631,-71.8556,88.0174,88.4314,90.8229,90.271,2022-03-04T08:07:58.733,,,,,,,,,,,,,,,,
